id,set_id,localId,name,set_name,grade,price,sold_date,title,set_phrase_from_title,set_match_name,set_match_score
me01-003,me01,3,Mega Venusaur ex,Mega Evolution,ACE 10,£26.70,Sold 6 Jun 2026,Pokemon TCG Mega Venusaur EX 003/132 ACE 10 Mega Evolution Perfect Subgrades,ACE 10 Mega Evolution,Mega Evolution,0.8
sv02-226,sv02,226,Maushold,Paldea Evolved,ACE 9,£66.16,Sold 6 Jun 2026,Maushold 226/193 Paldea Evolved Ace 9 Mint Illustration Rare,Paldea Evolved Ace 9,Paldea Evolved,0.824
me01-146,me01,146,Marshadow,Mega Evolution,ACE 10,£55.00,Sold 6 Jun 2026,ACE 10 - Marshadow - 146/132 - Mega Evolution - Pokemon Illustration Rare,- Mega Evolution -,Mega Evolution,1.0
sv10-230,sv10,230,Ethan's Ho-Oh ex,Destined Rivals,ACE 10,£239.90,Sold 6 Jun 2026,Ethans Ho-Oh EX 230/182 Destined Rivals ACE 10 PERFECT SUBS,Destined Rivals ACE 10,Destined Rivals,0.811
me02-100,me02,100,Zacian,Phantasmal Flames,ACE 10,£28.20,Sold 6 Jun 2026,Pokémon TCG Zacian 100/094 Phantasmal Flames Ace 10 Gem Mint,Phantasmal Flames Ace 10,Phantasmal Flames,0.829
me02.5-290,me02.5,290,Mega Dragonite ex,Ascended Heroes,ACE 10,£720.70,Sold 6 Jun 2026,Pokémon Mega Dragonite EX 290/217 Ace 10 ascended heroes,Ace 10 ascended heroes,Ascended Heroes,0.811
swsh12.5-GG45,swsh12.5,GG45,Deoxys VMAX,Crown Zenith,ACE 10,£96.00,Sold 6 Jun 2026,Pokémon TCG Deoxys VMAX GG45/GG70 - Crown Zenith - ACE 10 - With Guard,- Crown Zenith -,Crown Zenith,1.0
me02-013,me02,13,Mega Charizard X ex,Phantasmal Flames,ACE 10,£28.04,Sold 6 Jun 2026,Mega Charizard x EX 013/094 Phantasmal Flames Holo - ACE 10 Perfect Subgrades,Phantasmal Flames Holo -,Phantasmal Flames,0.872
me02.5-226,me02.5,226,Psyduck,Ascended Heroes,ACE 10,£230.00,Sold 6 Jun 2026,Psyduck 226/217 Ascended Heroes ACE 10 - Perfect Subgrades,Ascended Heroes ACE 10,Ascended Heroes,0.811
me02-100,me02,100,Zacian,Phantasmal Flames,ACE 10,£37.04,Sold 6 Jun 2026,ACE 10 Zacian 100/094 Phantasmal Flames Illustration Rare Pokemon Card,Phantasmal Flames Illustration Rare,Phantasmal Flames,0.654
sv08-213,sv08,213,Kecleon,Surging Sparks,ACE 10,£40.00,Sold 6 Jun 2026,Ace 10 Kecleon - 213/191 - SV Surging Sparks - Illustration Rare - Low Pop,- SV Surging Sparks,Surging Sparks,0.903
me02-129,me02,129,Dawn,Phantasmal Flames,ACE 10,£40.14,Sold 6 Jun 2026,Dawn 129/094 Phantasmal Flames - Graded ACE 10 GEM MINT - PERFECT SUBGRADES,Phantasmal Flames - Graded,Phantasmal Flames,0.81
sv10.5w-167,sv10.5w,167,Keldeo ex,White Flare,ACE 10,£65.00,Sold 6 Jun 2026,Keldeo EX 167/086 White Flare SIR ace 10 Matching Label Perfect Subgrades,White Flare SIR ace,White Flare,0.733
me01-181,me01,181,Mega Latias ex,Mega Evolution,ACE 10,£104.99,Sold 6 Jun 2026,Mega Latias ex 181/132 Ace 10 Mega Evolution Perfect Subgrades,Ace 10 Mega Evolution,Mega Evolution,0.8
swsh12.5-107,swsh12.5,107,Ditto,Crown Zenith,ACE 9,£17.60,Sold 6 Jun 2026,ACE 9 - Ditto - 107/159 - Crown Zenith - Pokemon,- Crown Zenith -,Crown Zenith,1.0
